Name,MIN,MIN Per Game,Point,Rebound,Assist,Steal,FG%,3P%,FT%,Age,Pos
JJ Hickson,1411,19.32876712,552,452,57,36,47.5,0,57.7,27,C
JJ Redick,2409,30.88461538,1277,167,137,39,47.7,43.7,90.1,31,SG
Joakim Noah,2049,30.58208955,485,646,312,48,44.5,0,60.3,30,C
Jodie Meeks,1462,24.36666667,663,104,79,59,41.6,34.9,90.6,28,SG
Joe Harris,493,9.666666667,136,41,26,7,40,36.9,60,24,SG
Joe Ingles,1673,21.17721519,396,175,182,72,41.5,35.6,75,28,SF
Joe Johnson,2791,34.8875,1154,384,292,59,43.5,35.9,80.1,34,SG
Joel Anthony,406,8.285714286,87,93,5,12,58.1,0,68.2,33,C
Joel Freeland,617,12.85416667,169,191,16,9,49,0,84,28,C
Joey Dorsey,854,12.37681159,184,279,25,40,55.2,0,28.9,32,PF
Joffrey Lauvergne,268,11.16666667,93,77,13,8,40.4,18.8,64.3,24,C
John Henson,1228,18.32835821,470,312,59,28,56.6,0,56.9,25,C
John Jenkins,297,12.375,135,39,13,10,49.5,40.4,84.2,24,SG
John Lucas III,272,12.95238095,98,16,60,8,40.4,31,100,33,PG
John Salmons,270,12.85714286,42,21,13,9,33.3,30.8,50,,
John Wall,2837,35.91139241,1387,366,792,138,44.5,30,78.5,,
Johnny O'Bryant III,368,10.82352941,100,64,17,5,36.7,0,44.4,22,PF
Jon Leuer,824,13.07936508,286,207,46,17,44.3,24.1,62.7,26,PF
Jonas Jerebko,1230,16.4,448,282,71,46,44.6,38.6,84.8,28,PF
Jonas Valanciunas,2096,26.2,963,693,39,33,57.2,0,78.6,23,C
Jordan Adams,248,8.266666667,94,28,16,16,40.7,40,60.9,21,SG
Jordan Clarkson,1476,25.01694915,703,191,206,51,44.8,31.4,82.9,23,PG
Jordan Farmar,529,14.69444444,167,42,67,20,38.6,36.1,90.9,29,PG
Jordan Hamilton,122,8.714285714,38,16,7,2,40,47.6,0,25,SF
Jordan Hill,1874,26.77142857,841,556,103,34,45.9,27.3,73.8,28,C
Jorge Gutierrez,174,8.7,53,25,22,6,53.7,0,69.2,27,PG
Jose Calderon,1270,30.23809524,382,124,198,31,41.5,41.5,90.6,34,PG
Josh McRoberts,296,17.41176471,72,45,33,12,52.8,42.1,61.5,28,PF
Josh Smith,2301,27.72289157,1027,530,277,87,41.9,31.6,49.8,,
JR Smith,2079,29.7,847,218,195,82,41.7,38.3,75,30,SG
Jrue Holiday,1303,32.575,592,135,274,63,44.6,37.8,85.5,25,PG
Julius Randle,14,14,2,0,0,0,33.3,0,0,21,PF
Justin Hamilton,713,17.3902439,219,134,36,27,47.8,32.3,83,25,C
Justin Holiday,657,11.13559322,254,73,48,40,38.7,32.1,82.2,26,SG
Jusuf Nurkic,1103,17.79032258,426,382,50,52,44.6,0,63.6,,
Kalin Lucas,6,6,0,0,0,1,0,0,0,26,PG
Kawhi Leonard,2033,31.765625,1057,461,161,148,47.9,34.9,80.2,24,SF
Kelly Olynyk,1424,22.25,656,303,109,64,47.5,34.9,68.4,24,C
Kemba Walker,2119,34.17741935,1075,220,318,89,38.5,30.4,82.7,25,PG
Kendall Marshall,417,14.89285714,118,28,86,21,45.5,39.1,88.9,24,PG
Kendrick Perkins,1148,16.88235294,246,320,51,16,44.9,0,50.6,31,C
Kenneth Faried,2086,27.81333333,946,668,89,62,50.7,12.5,69.1,26,PF
Kent Bazemore,1324,17.65333333,390,222,78,52,42.6,36.4,60,26,SG
Kentavious Caldwell-Pope,2587,31.54878049,1043,255,109,93,40.1,34.5,69.6,22,SG
Kenyon Martin,104,9.454545455,20,19,5,5,40.9,0,100,38,PF
Kevin Durant,913,33.81481481,686,178,110,24,51,40.3,85.4,27,SF
Kevin Garnett,952,20.25531915,323,311,77,46,46.7,14.3,80,39,PF
Kevin Love,2532,33.76,1228,731,168,51,43.4,36.7,80.4,27,PF
Kevin Martin,1302,33.38461538,779,142,89,33,42.7,39.3,88.1,32,SG
Kevin Seraphin,1235,15.63291139,520,288,59,10,51.3,0,70.7,26,C
Khris Middleton,2378,30.10126582,1055,347,182,122,46.7,40.7,85.9,24,SF
Kirk Hinrich,1610,24.39393939,377,121,148,46,37.3,34.5,70,34,SG
KJ McDaniels,1352,21.80645161,487,200,72,44,39.6,28.7,75.2,22,SG
Klay Thompson,2455,31.88311688,1668,247,222,87,46.3,43.9,87.9,25,SG
Kobe Bryant,1207,34.48571429,782,199,197,47,37.3,29.3,81.3,37,SG
Kosta Koufos,1348,16.64197531,419,426,37,29,50.8,0,64.7,26,C
Kostas Papanikolaou,795,18.48837209,182,118,85,29,35,29.2,72.2,25,SF
Kris Humphries,1345,21.015625,509,416,57,34,47.3,0,74.4,30,PF
Kyle Anderson,358,10.84848485,74,72,28,15,34.8,27.3,64.3,22,SF
Kyle Korver,2418,32.24,911,304,196,52,48.7,49.2,89.8,34,SG
Kyle Lowry,2414,34.48571429,1244,328,473,109,41.2,33.8,80.8,29,PG
Kyle O'Quinn,824,16.15686275,294,199,59,31,49.2,27.9,77.2,25,PF
Kyle Singler,1744,21.8,480,194,85,47,38.6,39.8,76.9,27,SF
Kyrie Irving,2730,36.4,1628,237,389,114,46.8,41.5,86.3,23,PG
LaMarcus Aldridge,2512,35.38028169,1661,726,124,48,46.6,35.2,84.5,30,PF
Lance Stephenson,1573,25.78688525,501,277,240,38,37.6,17.1,62.7,25,SG
Lance Thomas,1491,24.0483871,443,195,69,37,41.2,31.8,72.7,,
Landry Fields,216,8.307692308,46,26,15,11,48.8,50,83.3,27,SF
Langston Galloway,1457,32.37777778,533,190,150,52,39.9,35.2,80.8,24,PG
Larry Drew II,219,18.25,46,15,45,6,34.5,15.4,66.7,25,PG
Larry Sanders,586,21.7037037,196,166,23,26,50,0,50,,
Lavoy Allen,1070,16.98412698,315,323,73,15,47.2,0,70.2,26,C
Leandro Barbosa,982,14.87878788,467,91,99,41,47.4,38.4,78.4,33,SG
LeBron James,2493,36.13043478,1743,416,511,109,48.8,35.4,71,31,SF
Lester Hudson,56,11.2,18,8,5,6,42.9,50,75,31,SG
Lorenzo Brown,549,18.93103448,122,70,90,28,42.6,21.4,63.2,25,PG
Lou Amundson,937,17.67924528,259,268,70,22,42.7,0,47.1,33,PF
Lou Williams,2016,25.2,1242,151,164,88,40.4,34,86.1,29,SG
Luc Mbah a Moute,1916,28.59701493,660,328,106,81,39.5,30.7,58.9,29,PF
Lucas Nogueira,23,3.833333333,6,11,1,2,25,0,50,23,C
Luis Scola,1659,20.48148148,763,526,105,47,46.7,25,69.9,35,PF
Luke Babbitt,830,13.17460317,256,111,24,17,47.9,51.3,68.4,26,SF
Luke Ridnour,683,14.53191489,188,68,96,20,42.6,31.7,85.7,34,PG
Luol Deng,2421,33.625,1007,376,139,65,46.9,35.5,76.1,30,SF
Malcolm Thomas,194,11.41176471,45,56,7,3,45,0,69.2,25,SG
Manu Ginobili,1587,22.67142857,738,211,293,67,42.6,34.5,72.1,38,SG
Marc Gasol,2687,33.17283951,1413,630,307,70,49.4,17.6,79.5,30,C
Marcin Gortat,2453,29.91463415,1001,717,97,49,56.6,0,70.3,31,C
Marco Belinelli,1388,22.38709677,568,157,94,31,42.3,37.4,84.8,29,SG
Marcus Morris,2045,25.24691358,845,385,133,63,43.4,35.8,62.8,26,PF
Marcus Smart,1808,26.98507463,523,222,208,99,36.7,33.5,64.6,21,PG
Marcus Thornton,721,15.02083333,380,86,36,27,40.6,37.8,82.1,,
Mario Chalmers,2368,29.6,813,206,307,122,40.3,29.4,77.4,29,PG
Markel Brown,781,16.61702128,216,107,39,31,36.2,26.6,82.5,23,SG
Markieff Morris,2581,31.47560976,1258,506,192,101,46.5,31.8,76.3,26,PF
Marreese Speights,1207,15.88157895,791,325,72,20,49.2,27.8,84.3,28,C
Martell Webster,352,11,106,46,17,7,26.4,23.3,75,,
Marvin Williams,2035,26.08974359,577,386,100,69,42.4,35.8,71.3,29,PF
Mason Plumlee,1743,21.25609756,717,512,74,65,57.3,0,49.5,25,C
Matt Barnes,2271,29.88157895,764,302,114,67,44.4,36.2,77.9,35,SF
Matt Bonner,935,12.98611111,264,115,47,10,40.9,36.5,81.1,35,PF
Matthew Dellavedova,1380,20.59701493,319,126,204,24,36.2,40.7,76.3,25,SG
Maurice Harkless,674,14.97777778,158,106,25,32,39.9,17.9,53.7,22,SF
Meyers Leonard,847,15.4,327,250,32,10,51,42,93.8,23,C
Michael Beasley,505,21.04166667,212,89,32,15,43.4,23.5,76.9,26,SF
Michael Carter-Williams,2150,32.57575758,966,353,442,111,39.6,23.5,69.4,24,PG
Michael Kidd-Gilchrist,1587,28.85454545,598,416,77,30,46.5,0,70.1,22,SF
Mike Conley,2225,31.78571429,1107,209,375,89,44.6,38.6,85.9,28,PG
Mike Dunleavy,1838,29.17460317,595,248,114,39,43.5,40.7,80.5,35,SF
Mike Miller,701,13.48076923,109,91,46,14,32.5,32.7,75,35,SF
Mike Muscala,502,12.55,197,119,25,16,55,40.9,88,24,PF
Mike Scott,1123,16.51470588,529,199,75,25,44.4,34.4,79.2,27,PF
Miles Plumlee,1194,16.35616438,294,320,34,41,53.5,0,47.8,27,C
Miroslav Raduljica,23,4.6,8,5,0,1,37.5,0,100,,
Mirza Teletovic,892,22.3,339,194,46,14,38.2,32.1,71.7,,
Mitch McGary,485,15.15625,201,165,14,16,53.3,0,62.5,23,PF
Mo Williams,1980,29.11764706,964,174,424,46,39.7,34.2,87.2,33,PG
Monta Ellis,2699,33.7375,1513,190,329,148,44.5,28.5,75.2,30,SG
Nate Robinson,591,14.07142857,238,50,97,20,34.5,27.7,67.4,,
Nate Wolters,247,11.76190476,42,34,21,8,35.1,0,33.3,,
Nazr Mohammed,128,5.565217391,27,38,3,4,43.3,0,33.3,38,C
Nene,1694,25.28358209,737,345,123,66,51.1,20,60.4,33,PF
Nerlens Noel,2311,30.81333333,744,611,128,133,46.2,0,60.9,21,C
Nick Calathes,838,14.44827586,243,106,146,63,42.1,25.6,53.3,26,SG
Nick Collison,1101,16.68181818,273,250,90,35,41.9,26.7,69.2,35,PF
Nick Johnson,262,9.357142857,74,39,11,7,34.7,23.8,68,23,SG
Nick Young,1000,23.80952381,563,96,41,23,36.6,36.9,89.2,,
Nicolas Batum,2380,33.52112676,664,416,341,78,40,32.4,85.7,27,SF
Nik Stauskas,1127,15.43835616,319,88,67,20,36.5,32.2,85.9,22,SG
Nikola Mirotic,1654,20.17073171,833,404,97,54,40.5,31.6,80.3,24,PF
Nikola Pekovic,815,26.29032258,386,234,27,19,42.4,0,83.7,,
Nikola Vucevic,2529,34.17567568,1428,810,147,54,52.3,33.3,75.2,25,C
Noah Vonleh,259,10.36,83,86,4,4,39.5,38.5,69.2,20,PF
Norris Cole,1831,24.41333333,573,159,255,57,41.2,31.3,71.6,27,PG
O.J. Mayo,1697,23.90140845,806,187,197,57,42.2,35.7,82.7,28,SG
Ognjen Kuzmic,72,4.5,20,17,6,2,66.7,0,100,25,C
Omer Asik,1982,26.07894737,557,748,72,29,51.7,0,58.2,29,C
Omri Casspi,1416,21.13432836,593,260,102,31,48.9,40.2,73.3,27,SF
Otto Porter Jr.,1432,19.35135135,445,221,65,44,45,33.7,73.4,22,SF
Pablo Prigioni,1197,17.86567164,274,119,171,79,39.9,34.3,85.4,38,PG
Patrick Beverley,1727,30.83928571,568,237,192,59,38.3,35.6,75,27,PG
Patrick Christopher,29,7.25,6,6,0,1,25,0,0,27,SG
Patrick Patterson,2156,26.61728395,648,433,155,60,44.9,37.1,78.8,,
Patty Mills,801,15.70588235,351,75,87,28,38.1,34.1,82.5,27,PG
Pau Gasol,2681,34.37179487,1446,919,210,25,49.4,46.2,80.3,35,PF
Paul George,91,15.16666667,53,22,6,5,36.7,40.9,72.7,25,SF
Paul Millsap,2390,32.73972603,1218,570,223,130,47.6,35.6,75.7,30,PF
Paul Pierce,1914,26.21917808,868,294,144,46,44.7,38.9,78.1,38,SF
Pero Antic,1037,16.46031746,356,189,49,18,36.5,30.1,71.5,33,PF
Perry Jones III,631,14.6744186,184,76,18,17,39.7,23.3,64.9,24,SF
Phil Pressey,600,12,177,80,117,30,36.8,24.6,67.3,24,PG
PJ Hairston,687,15.26666667,254,92,21,21,32.3,30.1,86.1,23,SG
PJ Tucker,2383,30.55128205,713,502,122,107,43.8,34.5,72.7,,
Quincy Acy,1287,18.92647059,398,301,68,27,45.9,30,78.4,25,PF
Quincy Miller,120,12,29,20,8,7,23.7,16.7,72.7,23,PF
Quincy Pondexter,1793,23.90666667,538,195,94,19,42.1,37.3,74,27,SF
Rajon Rondo,2019,29.69117647,608,373,538,91,42.6,31.4,39.7,29,PG
Ramon Sessions,1188,18.5625,402,144,182,29,37.4,31.7,76.9,29,PG
Randy Foye,1087,21.74,435,85,119,34,36.8,35.7,81.8,32,SG
Rasual Butler,1505,20.06666667,580,197,63,29,42.2,38.7,79.1,36,SF
Ray McCallum,1436,21.11764706,503,180,188,45,43.8,30.6,67.9,24,PG
Raymond Felton,281,9.689655172,108,26,41,11,40.6,29.4,80,31,PG
