Name,MIN,MIN Per Game,Point,Rebound,Assist,Steal,FG%,3P%,FT%,Age,Pos
Tyreke Evans,2690,34.05063291,1313,416,521,100,44.7,30.4,69.4,26,SG
Tyrus Thomas,7,3.5,4,0,1,0,100,0,100,,
Tyson Chandler,2286,30.48,771,864,84,42,66.6,0,72,33,C
Udonis Haslem,995,16.0483871,261,258,46,21,44.8,20,70.3,35,PF
Vander Blue,74,37,22,9,8,3,30,20,40,23,SG
Victor Claver,76,7.6,24,20,1,1,45,54.5,0,27,SF
Victor Oladipo,2573,35.73611111,1292,302,295,120,43.6,33.9,81.9,23,SG
Vince Carter,1091,16.53030303,384,133,79,43,33.3,29.7,78.9,38,SG
Wayne Ellington,1675,25.76923077,650,210,105,33,41.2,37,81.3,28,SG
Wesley Johnson,2245,29.53947368,753,319,124,59,41.4,35.1,80.4,28,SF
Wesley Matthews,2024,33.73333333,956,222,139,77,44.8,38.9,75.2,29,SG
Will Barton,984,16.96551724,397,162,81,48,42.5,27.1,78.7,24,SG
Will Bynum,67,9.571428571,22,6,18,1,32.3,0,50,32,SG
Will Cherry,69,8.625,15,5,8,6,26.3,22.2,50,24,PG
Willie Green,951,18.28846154,306,79,68,26,38.6,34.7,82.4,34,SG
Wilson Chandler,2471,31.67948718,1085,475,134,58,42.9,34.2,77.5,28,SF
Xavier Henry,86,9.555555556,20,4,3,3,23.1,0,58.3,24,SF
Zach LaVine,1902,24.7012987,778,214,276,54,42.2,34.1,84.2,20,PG
Zach Randolph,2304,32.45070423,1143,747,153,69,48.7,35,76.5,34,PF
Zaza Pachulia,1730,23.69863014,606,500,178,80,45.4,0,78.8,31,C
Zoran Dragic,75,4.6875,28,8,5,2,36.7,21.4,60,26,SG
